timestamp,air_temp_k,process_temp_k,rot_speed_rpm,torque_nm,tool_wear_min,type,pred,prob,Machine failure,feedback_timestamp
2025-11-24T08:15:22,298.1,308.6,1551.0,42.8,45.0,M,0,0.0523,0.0,2025-11-24T08:15:30
2025-11-24T08:45:15,299.2,309.7,1408.0,46.3,58.0,L,0,0.1218,0.0,2025-11-24T08:45:22
2025-11-24T09:10:43,300.5,310.8,1498.0,49.4,72.0,L,0,0.2345,0.0,2025-11-24T09:10:50
2025-11-24T09:35:18,298.7,308.9,1433.0,39.5,35.0,L,0,0.0234,0.0,2025-11-24T09:35:25
2025-11-24T10:05:55,301.2,311.3,1408.0,52.0,88.0,M,0,0.3567,0.0,2025-11-24T10:06:02
2025-11-24T10:42:33,299.8,309.9,1425.0,48.9,65.0,M,0,0.1876,0.0,2025-11-24T10:42:40
2025-11-24T11:15:11,302.4,312.5,1558.0,55.4,95.0,H,0,0.4789,0.0,2025-11-24T11:15:18
2025-11-24T11:50:47,298.3,308.4,1527.0,40.2,28.0,L,0,0.0167,0.0,2025-11-24T11:50:54
2025-11-24T12:22:29,300.9,311.0,1667.0,51.6,82.0,M,0,0.2956,0.0,2025-11-24T12:22:36
2025-11-24T13:08:08,299.5,309.6,1741.0,47.3,58.0,M,0,0.1345,0.0,2025-11-24T13:08:15
2025-11-24T13:45:44,301.7,311.8,1782.0,54.1,92.0,H,0,0.4234,0.0,2025-11-24T13:45:51
2025-11-24T14:18:17,298.6,308.7,1423.0,44.3,48.0,H,0,0.0987,0.0,2025-11-24T14:18:24
2025-11-24T14:52:52,302.1,312.2,1339.0,56.8,105.0,M,0,0.5678,0.0,2025-11-24T14:52:59
2025-11-24T15:25:36,299.1,309.2,1742.0,46.7,52.0,M,0,0.1123,0.0,2025-11-24T15:25:43
2025-11-24T15:58:11,300.6,310.7,2035.0,50.5,76.0,L,0,0.2567,0.0,2025-11-24T15:58:18
2025-11-24T16:30:49,298.9,309.0,1542.0,48.4,62.0,L,0,0.1534,0.0,2025-11-24T16:30:56
2025-11-24T17:05:27,301.9,312.0,1311.0,53.7,98.0,M,0,0.4567,0.0,2025-11-24T17:05:34
2025-11-24T17:42:03,299.4,309.5,1410.0,45.6,55.0,M,0,0.1089,0.0,2025-11-24T17:42:10
2025-11-24T18:15:38,302.8,312.9,1306.0,57.2,108.0,H,0,0.6234,0.0,2025-11-24T18:15:45
2025-11-24T18:52:14,298.2,308.3,1632.0,41.8,38.0,M,0,0.0678,0.0,2025-11-24T18:52:21
2025-11-24T19:25:51,300.3,310.4,1380.0,49.8,78.0,L,0,0.2789,0.0,2025-11-24T19:25:58
2025-11-24T20:00:27,301.5,311.6,1250.0,52.5,95.0,M,0,0.4123,0.0,2025-11-24T20:00:34
2025-11-24T20:35:03,299.7,309.8,1420.0,47.2,68.0,L,0,0.1756,0.0,2025-11-24T20:35:10
